Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRwt subtype distinguisher importance (1-5),Direction for ATTRwt,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRwt direction multiplier,Ranking interpretation
WT23,Older age and male sex pattern,Demographic,Demographics,Background prior-probability modifier,Yes,2.5,3,Supports ATTRwt modestly,High,Registry/cohort evidence,Baseline context,Typically late-life presentation; historically male-predominant diagnosed cohorts,"ATTRwt cohorts are older and often male-predominant, but screening/autopsy data show women are under-recognized.",Useful only as a prior-probability modifier around much more informative clinical features.,Older age does not distinguish ATTRwt from ATTRv reliably; women can have ATTRwt.,Older age/male sex + orthopedic-to-cardiac trajectory,No sex or age cutoff should be required. Pathogenic TTR variants occur in elderly ATTR-CM patients.,High,Demographics,age; sex,Low-weight modifier; never use as an entry criterion by itself.,https://pubmed.ncbi.nlm.nih.gov/36644836/,https://pubmed.ncbi.nlm.nih.gov/35509173/,CORRECTED: retain demographic prior probability but reject NotebookLM-style fixed male ?60/female ?65 screening gateway as insufficiently validated and potentially biased.,49,21,Tier 4 - low,5,5,5,3.5,0.7,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT21,Bilateral sensorineural hearing loss greater than expected for age,Neurologic / sensory,Audiology / ENT history,Supporting extracardiac clue,Yes,2.5,3,Supports ATTRwt modestly,Moderate-Low,Small ATTRwt pilot + later ATTR observational evidence,May precede cardiac recognition,Older adult with otherwise unexplained hearing loss and other ATTR clues,"Pilot ATTRwt study of 16 men found sensorineural hearing loss in all, more severe than age expectations; later ATTR cohorts support hearing impairment as an extracardiac feature.",Potentially extends ATTRwt recognition beyond cardiology/orthopedics.,Presbycusis is extremely common; original ATTRwt study was very small. Exact 5.1-year lead time is not robust enough for universal use.,Hearing loss + CTS/LSS + cardiac phenotype,No validated audiometric threshold for ATTRwt suspicion.,Moderate,Audiology; ENT notes,sensorineural hearing loss; bilateral hearing aids; presbycusis disproportionate,Low-moderate cluster enhancer only.,https://pubmed.ncbi.nlm.nih.gov/28598686/,https://pubmed.ncbi.nlm.nih.gov/41906617/,"PARTLY AGREE: retain, but NotebookLM overstates prevalence/specificity and the exact lead-time evidence.",42.7,22,Tier 4 - low,2.5,5,3.5,3.5,0.7,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT24,Female patient with ATTR-like phenotype despite septal wall thickness <12 mm,Sex-specific cardiac imaging,Demographics + echocardiogram,False-negative guardrail,Yes,4,3.5,ATTRwt remains possible,Moderate-High,Recent ATTRwt sex-specific cohort,At cardiac presentation,Women with HFpEF/orthopedic/arrhythmia ATTR clues but modest wall thickness,"In a 2026 ATTRwt cohort, IVST ?12 mm was present in only 64.4% of women vs 100% of men; sex-specific LVMI improved sensitivity.",Prevents under-detection caused by male-derived wall-thickness thresholds.,Small cohort; exact best threshold needs validation.,Female + HFpEF/AF/CTS/LSS + increased LVMI/RWT even if IVST <12 mm,Do NOT hard-code ?11 mm as a validated female cutoff; use sex-specific LVMI/body-size-aware interpretation and broader red flags.,High,Demographics + echo,IVST; LVMI; RWT; female sex,Guardrail against false-negative screening rather than a positive sign.,https://pubmed.ncbi.nlm.nih.gov/41752875/,https://pubmed.ncbi.nlm.nih.gov/35343098/,"AGREE ON THE PROBLEM, DISAGREE ON THE FIXED 11-MM RULE. Current evidence supports sex-specific assessment, not a universal replacement cutoff.",32.6,23,Guardrail / differential,4.5,5,5,4,0.4,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT22,Mild-to-moderate length-dependent sensory polyneuropathy in an otherwise ATTRwt-like older cardiac/orthopedic phenotype,Neurologic,Diagnosis + neurologic exam/EMG,Supporting extracardiac clue / subtype guardrail,Yes,2.5,2.5,ATTRwt remains possible,Moderate,ATTRwt neurologic cohort + comparative literature,Usually with established systemic/cardio phenotype,Older ATTRwt-like patient without strong hereditary/autonomic pattern,ATTRwt cohorts increasingly report sensory length-dependent neuropathy; prevalence varies widely by ascertainment.,Prevents the old assumption that any neuropathy automatically means ATTRv.,"Prominent painful small-fiber neuropathy, severe dysautonomia, GI failure, ocular signs or family history shift strongly toward ATTRv; AL also causes neuropathy.",Mild sensory PN + strong orthopedic/cardio ATTRwt cluster and no hereditary red flags,No neuropathy severity threshold defines ATTRwt.,High,Neurology; EMG; problem list,sensory polyneuropathy; axonal neuropathy; numbness,Low-moderate positive/compatibility feature; subtype interpretation depends on phenotype severity.,https://pubmed.ncbi.nlm.nih.gov/34994254/,https://pubmed.ncbi.nlm.nih.gov/36644836/,"AGREE WITH MAJOR QUALIFICATION: ATTRwt neuropathy exists, but severe autonomic/GI or hereditary-pattern neuropathy should not be scored as ATTRwt-positive.",25.4,24,Guardrail / differential,3.5,5,5,4,0.4,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT30,Elevated serum uric acid,Metabolic laboratory,Routine chemistry,Prognostic marker — not recommended as suspicion feature,Yes,1.5,1,Very weak ATTRwt support; prognostic only,Moderate-High,ATTR/TTR cardiac prognostic cohorts,At established cardiac disease,Patients with diagnosed ATTR cardiac amyloidosis,"In a 300-patient ATTR cardiac cohort, uric acid >8.8 mg/dL was associated with shorter survival; other ATTRwt cohorts also linked higher uric acid to mortality.","Shows disease severity/prognosis, but does not establish that uric acid helps distinguish undiagnosed ATTRwt from common elderly comorbidities.","CKD, diuretics, gout, metabolic syndrome and HF commonly elevate uric acid.",Do not use for positive suspicion; at most retain for prognosis/severity research,No validated pre-test cutoff for ATTRwt suspicion.,High,Chemistry lab,serum uric acid; urate,Tier 5 / weak. Exclude from positive screening score unless a future comparative prediagnosis study demonstrates discrimination.,https://pubmed.ncbi.nlm.nih.gov/31825676/,https://pubmed.ncbi.nlm.nih.gov/26660282/,"DISAGREE with NotebookLM labeling uric acid a 'suspicion marker'. Evidence supports prognosis/severity after ATTR cardiac disease, not useful pre-test subtype discrimination.",23.8,25,Tier 5 - weak,4.5,5,5,2,0.5,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT25,Monoclonal gammopathy / MGUS in an otherwise ATTRwt-like phenotype,Hematology / differential,Routine monoclonal studies or prior diagnosis,Subtype guardrail,Only if already known,4,1.5,Does not exclude ATTRwt; raises AL concern,High,Biopsy-proven ATTR cohort + guidelines,At or before amyloid evaluation,Older adult with cardiac/orthopedic ATTR phenotype,"In biopsy-proven ATTRwt, 55/140 (39%) met the study's MGUS definition. Thus a monoclonal abnormality is not proof that the cardiac disease is AL.","Prevents the dangerous error 'monoclonal protein = AL, therefore not ATTR'.",AL is urgent and must be actively excluded. Presence of monoclonal protein invalidates simple non-invasive ATTR attribution and usually requires definitive typing in the clinical pathway.,MGUS + strong orthopedic/cardio ATTR phenotype ? keep both AL and ATTR in differential,Do not treat MGUS as ATTRwt-positive evidence. It is a differential guardrail and changes the diagnostic pathway.,High,Hematology history; lab results,MGUS; M-spike; monoclonal gammopathy; immunofixation,Guardrail only; low positive-ranking multiplier but high clinical importance.,https://pubmed.ncbi.nlm.nih.gov/29424556/,https://pubmed.ncbi.nlm.nih.gov/33825853/,"AGREE STRONGLY with the 'MGUS trap'. It belongs in the table as a guardrail, not a positive ATTRwt sign.",20.7,26,Guardrail / differential,5,4,5,4,0.3,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT26,Abnormal serum free-light-chain ratio in CKD that may reflect renal clearance rather than monoclonality,Renal / hematology,Routine labs if already available,Subtype guardrail,Only if already known,3.5,1.5,Does not exclude ATTRwt; may be CKD-related FLC shift,High,Large population CKD reference-interval study,At differential work-up or incidental monoclonal testing,Patient with reduced eGFR and mildly abnormal FLC ratio,"iStopMM proposed Freelite FLC-ratio reference intervals 0.46–2.62 for eGFR 45–59, 0.48–3.38 for 30–44, and 0.54–3.30 for <30.",Prevents false AL classification caused by renal impairment.,Assay-specific reference ranges matter; true AL can coexist with CKD; immunofixation context remains essential.,CKD + mild FLC-ratio shift + negative/discordant monoclonal evidence + strong ATTR phenotype,CORRECTION: do not use one blanket 0.54–3.30 range for all eGFR ?45. Use assay- and eGFR-specific reference data.,High,Chemistry + hematology lab,eGFR; kappa; lambda; FLC ratio,Guardrail; not ATTRwt-positive evidence.,https://pubmed.ncbi.nlm.nih.gov/36100605/,https://pubmed.ncbi.nlm.nih.gov/29424556/,"DISAGREE WITH NOTEBOOKLM'S SINGLE CKD RANGE. The renal-correction principle is correct, but the proposed cutoff was oversimplified.",19.8,27,Guardrail / differential,5,4,5,4,0.3,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT27,"Nephrotic-range proteinuria/marked hypoalbuminemia, macroglossia/periorbital purpura, or strong plasma-cell-disorder context",Renal / mucocutaneous / hematology,History + exam + routine labs,Counter-evidence / AL differential,Yes,5,1,Raises AL concern,High,AL guidelines + comparative EHR evidence,Before/at systemic presentation,Any patient with suspected cardiac amyloid,Prediagnosis EHR data show proteinuria/nephrotic and clonal diagnoses are more AL-oriented than ATTRwt; classic mucocutaneous features strongly favor AL.,Protects against incorrectly calling an AL patient ATTRwt because the heart looks amyloid.,"MGUS can coexist with ATTRwt, so subtype must remain unresolved until appropriate typing; renal disease can have non-amyloid causes.",Heavy proteinuria + clonal/mucocutaneous AL pattern ? prioritize AL exclusion,No absolute exclusion; this is a strong directional counter-signal.,High,Labs; problem list; exam notes,nephrotic syndrome; proteinuria; hypoalbuminemia; macroglossia; periorbital purpura; myeloma,ATTRwt down-weight / urgent AL guardrail.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/29424556/,"AGREE WITH DIFFERENTIAL EMPHASIS: the ATTRwt table needs explicit AL-negative-direction rows, not only ATTR-positive red flags.",11.1,28,Guardrail / differential,5,5,5,4,0.2,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT28,Prominent painful polyneuropathy with marked dysautonomia/GI dysfunction ± family history or ocular signs,Neurologic / autonomic / hereditary,History + diagnoses + family history,Counter-evidence / ATTRv differential,Yes,4.5,1,Points toward ATTRv,High,ATTRv consensus + genotype comparison,Often earlier in ATTRv than classic ATTRwt cardiomyopathy,Patient with systemic TTR-like phenotype dominated by neurologic/autonomic features,"ATTRv consensus emphasizes progressive PN plus autonomic, GI, cardiac, family and ocular red flags. Hereditary ATTR can occur even in older patients.",Protects against calling any TTR-looking elderly patient wild-type.,"ATTRwt can have some neuropathy/orthostasis, but severe or early autonomic/mixed phenotype shifts toward ATTRv.",Painful/axonal PN + orthostasis/GI/weight loss + family/ocular signs,Family history is supportive but absence does not exclude ATTRv; age does not establish wild-type.,High,Neurology; GI; family history,small-fiber neuropathy; dysautonomia; orthostasis; diarrhea/constipation; vitreous opacities; family neuropathy,Strong ATTRwt down-weight / ATTRv guardrail.,https://pubmed.ncbi.nlm.nih.gov/31907599/,https://pubmed.ncbi.nlm.nih.gov/36644836/,"AGREE: NotebookLM correctly distinguishes ATTRv's neurologic/autonomic pattern, but its table understates that hereditary ATTR can present late.",10.7,29,Guardrail / differential,5,5,5,4,0.2,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
WT29,Chronic inflammatory/autoinflammatory disease or chronic infection + persistent inflammatory burden + heavy proteinuria,Inflammatory / renal,Medical history + routine labs,Counter-evidence / AA differential,Yes,4.5,1,Points toward AA,High,AA guideline + causes systematic review,After sustained inflammatory disease,RA/IBD/FMF/autoinflammatory/chronic infection patient with emerging renal phenotype,AA literature centers suspicion on a credible inflammatory driver followed by proteinuria/renal dysfunction.,Prevents a nonspecific 'systemic amyloidosis' phenotype from defaulting to ATTRwt.,Older patients may have both degenerative cardiac disease and inflammatory illness; renal cause may remain unresolved.,Persistent inflammatory disease + CRP/SAA burden + proteinuria/nephrotic syndrome,No single inflammation duration threshold; use chronicity/activity plus renal transition.,High,Problem list; labs; rheumatology/infectious disease,FMF; RA; Crohn; TB; bronchiectasis; CRP/SAA; proteinuria,ATTRwt down-weight / AA guardrail.,https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/31766892/,AGREE: cross-subtype guardrails are essential; AA should be considered when the phenotype is inflammation?renal rather than orthopedic?cardiac.,10.7,29,Guardrail / differential,5,5,5,4,0.2,Guardrail / differential: retained because it changes subtype interpretation but intentionally receives a low ATTRwt-positive ranking.
