Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRv subtype distinguisher importance (1-5),Direction for ATTRv,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRv direction multiplier,Ranking interpretation,
V22,Nerve ultrasound showing abnormal proximal nerve/plexus enlargement or ATTR-pattern abnormalities,Neurologic imaging,High-resolution nerve ultrasound,Specialized early marker,Only if already known,3,4,Supports ATTRv,Moderate,Carrier and patient imaging cohorts,Potentially presymptomatic/early,Known carriers or specialist neuropathy evaluation,Small studies show nerve-ultrasound differences between ATTRv-PN and carriers; a 2026 asymptomatic-carrier study suggests possible early detection in a specific variant cohort.,Non-invasive adjunct for early nerve involvement.,Evidence is small and variant/center-specific; pattern is not validated for population screening.,Ultrasound abnormality + carrier/family status + subtle PN,No universal cross-sectional-area threshold.,Low,Neurology ultrasound report,nerve ultrasound; cross-sectional area; brachial plexus,Exploratory/specialized supporting feature.,https://www.sciencedirect.com/science/article/pii/S1388245725012982,https://pubmed.ncbi.nlm.nih.gov/37869146/,"PARTLY AGREE: include as emerging evidence, not as a routine high-confidence EHR trigger.",67,25,Tier 3 - moderate,3.5,4,2,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V37,"Mild/well-controlled diabetes that does not explain severe, rapidly progressive or ataxic neuropathy",Metabolic / neurologic,Diagnosis + HbA1c + neuropathy trajectory,Specificity guardrail,Yes,4,4,Supports ATTRv modestly,Moderate,Genotyped ML/screening literature,During neuropathy work-up,Diabetic patient with phenotype disproportionate to metabolic disease,"Genotyped studies identify metabolic disease as a common alternative explanation, but severe/progressive atypical neuropathy despite mild controlled diabetes should prevent diagnostic anchoring.",The useful signal is the mismatch between diabetes severity and neuropathy—not diabetes itself.,Diabetes remains the most common cause of neuropathy and should generally lower specificity.,Controlled/mild diabetes + rapid axonal progression + dysautonomia/GI/family/CTS,No HbA1c or diabetes-duration threshold is validated for ATTRv screening.,High,Problem list; HbA1c; neurology notes,diabetes; HbA1c; rapidly progressive neuropathy,"Use as an anti-anchoring composite, not a positive diabetes feature.",https://pubmed.ncbi.nlm.nih.gov/42584723/,https://pubmed.ncbi.nlm.nih.gov/31907599/,CORRECTED: NotebookLM's 'controlled diabetes = negative TTR predictor' is too deterministic; encode phenotype-disproportion instead.,65.2,27,Tier 3 - moderate,3.5,5,5,4,0.8,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V23,Cardiac sympathetic denervation on 123I-MIBG scintigraphy,Cardiac autonomic imaging,Specialized nuclear imaging,Specialized early marker,Only if already known,4,3,Supports ATTRv modestly,Moderate,Small 2026 carrier/patient study,Potentially subclinical/early,Known carriers / specialist centers,"A 2026 cross-sectional study found abnormal MIBG measures in symptomatic patients and asymptomatic carriers, supporting early sympathetic denervation.",May reveal autonomic cardiac involvement before overt structural disease in selected carriers.,Small study; MIBG is not routine in many systems and is not ATTRv-specific.,Abnormal MIBG + carrier status + autonomic/neurologic signs,No universal screening threshold; do not claim superiority to bone scintigraphy as established clinical standard.,Low,Nuclear cardiology report,123I-MIBG; heart-to-mediastinum ratio; sympathetic denervation,Specialized carrier-monitoring signal only.,https://pubmed.ncbi.nlm.nih.gov/41773910/,https://pubmed.ncbi.nlm.nih.gov/31907599/,"AGREE WITH STRONG DOWNGRADE: promising early marker, but evidence is small and specialized.",56.4,28,Tier 3 - moderate,3.5,4,2,4,0.8,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V29,Painless plantar ulcers / trophic foot changes / Charcot-type injury from sensory loss,Neurologic / skin,Physical exam / wound history,Supporting systemic clue,Yes,3,3,Supports ATTRv modestly,Moderate,Clinical guideline,Usually after small-fiber sensory loss; can precede recognition of large-fiber weakness,Neuropathy-dominant ATTRv,"TTR-FAP guidance describes painless trauma, plantar ulcers and foot osteoarthropathy due to loss of pain sensation.",May reveal clinically important small-fiber loss when 'neuropathy' has not yet been recognized.,Diabetes and vascular disease are major mimics and often more common causes.,Painless ulcers + pain-temperature loss + autonomic/GI/family clues,No ulcer number/location threshold is validated.,High,Wound care; podiatry; neurology notes,plantar ulcer; painless ulcer; Charcot joint; trophic change,Moderate cluster feature; down-weight strongly if diabetes/vascular explanation is adequate.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3584981/,https://pubmed.ncbi.nlm.nih.gov/20301373/,"AGREE WITH GUARDRAIL: legitimate manifestation, but not subtype-specific enough to rank highly.",54.8,29,Tier 4 - low,3.5,5,5,3.5,0.8,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V27,Urinary retention/incontinence / neurogenic bladder with neuropathy,Autonomic / urogenital,Symptoms / diagnosis,Supporting systemic clue,Yes,3,3,Supports ATTRv modestly,Moderate,GeneReviews + expert recommendations,Usually with autonomic disease,Neuropathy/dysautonomia phenotype,Bladder dysfunction is included among ATTRv autonomic manifestations.,Adds another autonomic system.,"BPH, pelvic disease, spinal disease, medications and diabetes are common mimics.",Bladder dysfunction + orthostasis/GI + progressive PN,No subtype-specific urodynamic threshold.,Moderate,Urology/neurology notes,urinary retention; neurogenic bladder; incontinence,Supporting cluster feature.,https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/38174864/,AGREE: retain.,53.6,30,Tier 4 - low,3.5,5,3.5,3.5,0.8,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V31,Progressive intolerance to antihypertensives / need to down-titrate therapy with falling blood pressure,Cardiac / autonomic,Medication history + BP trend,ATTR/cardiac-amyloid clue,Yes,3,2,Weakly supports ATTRv,High,ACC cardiac amyloidosis consensus + ATTR review,Often with developing cardiac/autonomic involvement,Patients with prior hypertension and emerging CA/dysautonomia,Cardiac amyloidosis guidance recognizes intolerance to vasodilating antihypertensives and orthostatic hypotension as red flags.,A longitudinal medication/BP shift can be more informative than a single low BP.,"This is cardiac-amyloidosis/ATTR-general, not ATTRv-specific; AL can also cause intolerance.",Down-titration + neuropathy/autonomic/family history,No validated 'disappearing hypertension' magnitude or medication-count threshold.,High,Medication list; BP vitals; cardiology notes,antihypertensive discontinued; beta-blocker intolerance; ACEi intolerance; low BP,"Moderate amyloid red flag, low subtype discriminator.",https://pubmed.ncbi.nlm.nih.gov/36697326/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897687/,"AGREE WITH CORRECTION: keep the concept, but not as a hallmark unique to ATTRv.",40.2,31,Tier 4 - low,5,5,5,3.5,0.6,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V30,Lumbar spinal stenosis / prior decompression with persistent lower-limb symptoms,Musculoskeletal / neurologic,Diagnosis + surgery + spine imaging,ATTR-general clue,Yes,3,2,Weakly supports ATTRv,Moderate-High,ATTRv review + ATTR musculoskeletal literature,Can precede neuropathy/cardiac diagnosis,Older or late-onset ATTRv patients,ATTRv reviews describe lumbar canal stenosis as a possible early presentation but explicitly note it does not discriminate genetic from non-genetic ATTR.,Useful to avoid dismissing persistent 'spine' symptoms that actually reflect neuropathy.,Degenerative stenosis is common and the long isolated orthopedic prodrome is more ATTRwt-oriented.,LSS + progressive neuropathy/dysautonomia/family history,No validated imaging or surgical threshold for ATTRv suspicion.,High,Problem list; spine MRI; surgery,lumbar stenosis; laminectomy; decompression; ligamentum flavum,Low ATTRv subtype weight; use only with neurologic/hereditary enrichment.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10585157/,https://pubmed.ncbi.nlm.nih.gov/36644836/,"PARTLY AGREE: add, but NotebookLM overstates it as an ATTRv-specific orthopedic precursor.",39.3,32,Tier 5 - weak,4.5,5,5,3.5,0.6,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V34,Severe GI weight loss that has been labeled anorexia/eating disorder without a convincing psychiatric explanation,Gastrointestinal / systemic,Diagnosis + notes + weight trend,Variant-specific clue,Yes,3,2,Weakly supports ATTRv,Moderate-Low,Variant-specific reports / phenotype review,Can precede diagnosis in selected variants,Younger or GI-predominant ATTRv phenotypes,Severe gastroparesis/early satiety and weight loss can mimic primary eating disorders in selected ATTRv phenotypes.,May be a useful 'misdiagnosis trajectory' clue when objective dysautonomia/neuropathy coexists.,Evidence is variant-specific and not adequate for a general ATTRv rule; true eating disorders and other GI disease are common.,Eating-disorder label + objective GI dysmotility + neuropathy/autonomic/family clue,No validated diagnostic pattern or weight-loss cutoff.,Moderate,Psychiatry/GI notes; weight trend,anorexia nervosa; cachexia; early satiety; gastroparesis,Low-weight variant-specific mimic row.,https://pubmed.ncbi.nlm.nih.gov/37869146/,https://pubmed.ncbi.nlm.nih.gov/38844302/,"PARTLY AGREE: keep only as a low-weight, variant-specific misdiagnosis pattern.",34.8,33,Tier 5 - weak,2.5,5,3.5,3.5,0.6,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V35,Glaucoma or dry-eye syndrome without vitreous/pupillary or neurologic/family features,Ocular,Ophthalmology diagnosis,Supporting systemic clue,Yes,2,2,Weakly supports ATTRv,Moderate,Ocular systematic review,Usually later / variant-dependent,General ophthalmology population,"Glaucoma and dry eye occur in ATTRv ocular disease, but both are common in the general population.",Can support an ocular cluster but should not trigger ATTRv alone.,"Very low specificity without vitreous opacities, pupillary abnormalities or systemic clues.",Glaucoma/dry eye + vitreous/pupillary signs + PN/family history,No common-eye-disease threshold should be used.,High,Ophthalmology problem list,glaucoma; dry eye,Low-weight cluster feature only.,https://pubmed.ncbi.nlm.nih.gov/42078187/,https://pubmed.ncbi.nlm.nih.gov/20301373/,AGREE WITH DOWNGRADE: do not let common glaucoma/dry eye become ATTRv screening triggers.,33.9,34,Tier 5 - weak,3.5,5,5,3.5,0.6,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V36,Declining serum prealbumin (circulating transthyretin),Laboratory / nutritional,Routine chemistry if measured,Unvalidated biomarker / do not use as trigger,Yes if obtained for routine care,2,2,Very weak ATTRv support,Moderate,Biomarker reviews / monitoring recommendations,Variable,ATTR patients/carriers; often treatment/prognosis context,"Low circulating TTR has biological and prognostic associations, but current reviews note it is not incorporated into diagnostic guidelines; expert guidance uses prealbumin mainly for treatment-response monitoring.",It may be interesting mechanistically but is not mature enough for a pre-test ATTRv phenotype.,"Malnutrition, inflammation and liver disease strongly affect prealbumin; low values are not ATTRv-specific.",Only interpret with much stronger hereditary/neurologic evidence,Do not use NotebookLM's normal-range/decline concept as a diagnostic threshold.,High,Chemistry lab,prealbumin; transthyretin; TTR level,Do not use as a positive screening trigger; retain as a research-only low-priority feature.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11929585/,https://pubmed.ncbi.nlm.nih.gov/38174864/,DISAGREE AS A PRE-TEST TRIGGER: evidence supports prognostic/treatment-monitoring use more than diagnostic screening.,22.2,35,Guardrail / differential,3.5,5,5,3,0.4,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V38,Active autoimmune disease / positive autoantibodies with a convincing inflammatory/demyelinating neuropathy pattern,Neurologic / autoimmune,Diagnosis + serology + EMG/CSF history,Negative / alternative-cause guardrail,Yes,3,1,Alternative neuropathy more likely,Moderate,Genotyped ML cohort + differential-diagnosis literature,During neuropathy work-up,Patients with inflammatory neuropathy features,Autoimmune history may predict a non-TTR cause in some genotyped cohorts and is an important competing diagnosis.,"This is useful as a specificity guardrail, not proof against ATTRv.",ATTRv can be misdiagnosed as CIDP and nonspecific autoantibodies may coexist; never use autoimmunity as an exclusion.,"If inflammatory evidence is weak or immunotherapy fails, re-open ATTRv differential",No autoantibody panel or titer excludes ATTRv.,High,Problem list; serology; neurology notes,autoimmune disease; positive ANA; demyelinating neuropathy,Guardrail / uncertainty modifier.,https://pubmed.ncbi.nlm.nih.gov/42584723/,https://pubmed.ncbi.nlm.nih.gov/28188196/,"PARTLY AGREE: use as an alternative-cause guardrail, never a hard negative predictor.",13.9,36,Guardrail / differential,3.5,5,5,3,0.25,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V32,"Low-flow, low-gradient aortic stenosis",Cardiac imaging,Echocardiogram / valve diagnosis,Subtype guardrail,Yes,4,1,Points toward ATTRwt,High,Cross-type cardiac amyloidosis cohort + guidelines,Usually at cardiac presentation,Older AS patients,"In a large CA cohort, any AS was substantially more common in ATTRwt (26%) than ATTRv (8%); low-flow/low-gradient physiology is an ATTR-CM red flag but especially ATTRwt-enriched.","Important as a cardiac-amyloid trigger, but it should not be promoted as an ATTRv-specific sign.",Severe AS itself causes LVH/low flow; ATTRwt is the stronger TTR subtype association.,"AS + neuropathy/family history can keep ATTRv in differential, but isolated AS favors ATTRwt",Use standard AS definitions; no ATTRv-specific threshold.,High,Echo report; cardiology,low-flow low-gradient AS; paradoxical LFLG AS,Guardrail: raises cardiac amyloid suspicion but down-weights ATTRv subtype assignment.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11255711/,https://pubmed.ncbi.nlm.nih.gov/36697326/,CORRECTED: NotebookLM over-attributes this to ATTRv; evidence is much stronger for ATTRwt.,13.6,37,Guardrail / differential,5,5,5,4,0.2,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V41,Older patient with isolated cardiac ATTR-like phenotype and long orthopedic prodrome but little/no neuropathy or dysautonomia,Cardiac / musculoskeletal,Derived longitudinal phenotype,Subtype guardrail,Yes,4,1,Points toward ATTRwt,High,Comparative hereditary-vs-wild-type ATTR cohorts,Before subtype confirmation,Older adults with cardiac-dominant disease,"Older age does not exclude ATTRv, but a long isolated CTS/spinal/tendon prodrome followed by cardiac disease without neurologic/autonomic features is much more characteristic of ATTRwt.",This is the main ATTRwt-vs-ATTRv clinical guardrail.,"Pathogenic TTR variants remain present in a meaningful fraction of elderly ATTR-CM patients, so genetic testing is still necessary.",Orthopedic years earlier + isolated HF/LVH/AF/conduction disease ? favor ATTRwt but keep ATTRv until genotyped,Do not use age alone as a wild-type classifier.,High,Derived from procedures + cardiology + neurology absence/notes,orthopedic prodrome; isolated cardiac disease; no neuropathy,Guardrail / comparative down-weight only.,https://pubmed.ncbi.nlm.nih.gov/36644836/,https://pubmed.ncbi.nlm.nih.gov/31975495/,AGREE WITH THE DIFFERENTIAL CONCEPT: ATTRv should not absorb the classic ATTRwt orthopedic-to-cardiac phenotype.,13.6,37,Guardrail / differential,5,5,5,4,0.2,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V33,"Biceps tendon rupture, rotator cuff tear, trigger finger/tenosynovitis as an isolated orthopedic prodrome",Musculoskeletal,Surgical / orthopedic history,Subtype guardrail,Yes,3,1,Points toward ATTRwt,Moderate-High,ATTR musculoskeletal reviews,Often years before cardiac disease,Older adults with little/no neuropathy,"These are recognized ATTR musculoskeletal red flags, but the strongest evidence and classic long prodrome are ATTRwt-oriented.","They can still coexist with ATTRv, so they should not be discarded.",Age-related degenerative disease is common; isolated orthopedic pattern without neuropathy/autonomic clues points more toward ATTRwt.,"If accompanied by progressive PN/family/ocular/autonomic signs, keep ATTRv in differential",No surgery-count threshold is validated.,High,Orthopedic diagnoses; procedures,biceps rupture; rotator cuff tear; trigger finger; tenosynovitis,"Use mainly as ATTR-general context / ATTRwt guardrail, not a strong ATTRv positive row.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10585157/,https://pubmed.ncbi.nlm.nih.gov/36644836/,PARTLY DISAGREE: add only as low-weight ATTR-general evidence; NotebookLM treats these as too ATTRv-specific.,12.1,39,Guardrail / differential,4.5,5,5,4,0.2,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V39,"Nephrotic-range proteinuria, macroglossia/periorbital purpura, or strong plasma-cell-disorder context",Renal / mucocutaneous / hematology,Routine labs + exam + medical history,Subtype guardrail,Yes,5,1,Raises AL concern,High,AL guideline + cross-type differential,At systemic presentation,Any patient being considered for amyloidosis,"Heavy nephrotic protein loss, classic mucocutaneous AL signs and plasma-cell disorders are much more AL-oriented than ATTRv.",Critical safeguard against mislabeling AL as hereditary ATTR.,MGUS can coexist with ATTR; no single monoclonal abnormality proves AL.,Monoclonal context + nephrotic/mucocutaneous pattern ? urgent AL pathway,Amyloid-specific FLC/IFE testing is second-stage and is not counted as a pre-test phenotype sign here.,High,Hematology history; urine/albumin; exam notes,MGUS; myeloma; nephrotic syndrome; macroglossia; purpura,Guardrail: down-weight ATTRv and preserve urgent AL differential.,https://pubmed.ncbi.nlm.nih.gov/42099096/,https://pubmed.ncbi.nlm.nih.gov/20301373/,"STRONGLY AGREE with NotebookLM's AL-safety emphasis, but keep amyloid-specific tests outside the pre-test score.",11.1,40,Guardrail / differential,5,5,5,4,0.15,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
V40,Chronic inflammatory/autoinflammatory/infectious disease plus new proteinuria/nephrotic renal phenotype,Inflammatory / renal,Medical history + routine labs,Subtype guardrail,Yes,5,1,Points toward AA,High,AA guideline + cross-type differential,After sustained inflammatory disease,RA/FM F/IBD/chronic infection or similar,AA screening logic is driven by sustained inflammation followed by new proteinuria/renal dysfunction.,Prevents a generic amyloid renal phenotype from being attributed to ATTRv.,Inflammatory disease can coexist with unrelated ATTRv; context is probabilistic.,Inflammatory driver + persistent inflammation + renal protein loss ? AA-oriented evaluation,No single inflammatory duration threshold is required.,High,Problem list; labs,FMF; RA; IBD; TB; proteinuria; CRP,Guardrail: down-weight ATTRv and consider AA.,https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/20301373/,ADDED DIFFERENTIAL: needed to keep the four-subtype phenotype model internally consistent.,11.1,40,Guardrail / differential,5,5,5,4,0.15,Clinically important guardrail/counter-evidence; intentionally down-weighted as an ATTRv-positive signal.,
