FILE: c:\Users\PAMALI\Desktop\RDDT\results\analysis\schema_and_data_impact_analysis.xlsx
SHEETS: ['Executive_Summary', 'Table_CLAIMS', 'Table_ENCOUNTERS', 'Table_CENSUS', 'Table_LABS', 'Table_SURGICAL_HISTORY', 'Missing_Tables']

================================================================================
SHEET: Executive_Summary
================================================================================
R1: ATTR AMYLOIDOSIS PIPELINE: SCHEMA & DATA IMPACT ANALYSIS ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R2: Evaluation of Old Schema (legacy_ehr_v1) vs New Schema (sample_db_v1) and Data Quality Impacts on Algorithm Stages ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: CRITICAL ARCHITECTURAL FINDINGS: | 1. CLAIMS (53.3M rows): 100% of date columns are NULL. While Confirmed Amyloidosis ICD-10 extraction succeeds, the Early Detection Suspicion Pipeline completely halts because evidence qualification discards any row with UNKNOWN_AVAILABILITY_DATE. | 2. ENCOUNTERS (17.4M rows): 99.99999% date population with VISITID linking to CLAIMS.COLUMN1. This provides an immed... ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: 1. TABLE STATUS & IMPACT MATRIX ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: Table Name || Old Schema Name || New Schema Status || Total Row Count || Distinct Patients || Primary Schema & Data Issues || Pipeline Severity || Operational Impact & Feasibility ||  ||  ||  ||  ||  ||  ||  || 
R12: state || State || STATE || TEXT || TEXT || Renamed || Patient state; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: family_id || FamilyId || UNMAPPED || TEXT || N/A || REMOVED IN NEW || Family/household identifier; COMPLETELY ABSENT in new schema. ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: firstname || N/A || FIRSTNAME || N/A || TEXT || Added in New || First name; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: lastname || N/A || LASTNAME || N/A || TEXT || Added in New || Last name; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R16: middleinitial || N/A || MIDDLEINITIAL || N/A || TEXT || Added in New || Middle initial; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R17: address || N/A || ADDRESS || N/A || TEXT || Added in New || Street address; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R18: county || N/A || COUNTY || N/A || TEXT || Added in New || County; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R19: country || N/A || COUNTRY || N/A || TEXT || Added in New || Country; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R20: zipcode || N/A || ZIPCODE || N/A || TEXT || Added in New || Zip code; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R21: deathdate || N/A || DEATHDATE || N/A || TEXT || Added in New || Date of death; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R22: ombethnicity || N/A || OMBETHNICITY || N/A || TEXT || Added in New || Ethnicity (Hispanic or Latino, Not Hispanic, Unknown). ||  ||  ||  ||  ||  ||  ||  ||  || 
R23: ombrace || N/A || OMBRACE || N/A || TEXT || Added in New || Race (White, Black, Asian, Unknown). ||  ||  ||  ||  ||  ||  ||  ||  || 
R24: begineffectivedate || N/A || BEGINEFFECTIVEDATE || N/A || TEXT || Added in New || Enrollment start date; mostly blank. ||  ||  ||  ||  ||  ||  ||  ||  || 
R25: endeffectivedate || N/A || ENDEFFECTIVEDATE || N/A || TEXT || Added in New || Enrollment end date; mostly blank. ||  ||  ||  ||  ||  ||  ||  ||  || 
R27: 3. ISSUES WITH CURRENT SCHEMA (AS PER ALGORITHM REQUIREMENTS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R28: • FAMILYID column is completely removed from the new CENSUS schema. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R29: • legacy_ehr_v1 profile had family_id in required_columns; running legacy config immediately fails schema validation. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R30: • Numerous new demographic columns added (FIRSTNAME, LASTNAME, ADDRESS, etc.) but not populated with real data. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R32: 4. ISSUES WITH CURRENT DATA (EMPIRICAL FINDINGS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R33: • 94,045 patients (3.36%) have missing birth dates. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R34: • 96.64% of patients fall into a single age band (51-60 years, clustered around 1970 birth dates) due to synthetic generation. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R35: • All geographic columns (CITY, STATE, ZIPCODE, ADDRESS) are empty strings. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R36: • Complete absence of family linkage across all 2.79M patients. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R38: 5. HOW IT AFFECTS OUR CURRENT ALGORITHM & PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R39: • Schema Validation: Handled in sample_db_v1 by removing family_id from required_columns. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R40: • Hereditary ATTRv Pedigree Scoring: Cannot link index patients to relatives with amyloidosis or cardiomyopathy. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R41: • Age-based Gates: The heavy 51-60 clustering means almost all patients satisfy the adult/elderly age gates for ATTRwt/ATTRv. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R42: • Patient Profile Reports: Demographics section in viewer JSONL/CSV exports will show blank city, state, and family_id. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R44: 6. WHAT CHANGES WE NEED TO MAKE TO OUR ALGORITHM / PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R45: • CONFIRM OPTIONAL DEMOGRAPHICS: Keep family_id, city, and state strictly optional in all pipeline schemas. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R46: • ADJUST ATTRv HEREDITARY RULES: Evaluate ATTRv suspicion based purely on clinical symptom combinations (neuropathy + CTS + cardiomyopathy) rather than expecting family pedigree corroboration. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R47: • SAFE AGE HANDLING: For the 94,045 patients with missing birth dates, treat age gates as non-blocking UNKNOWN rather than disqualifying. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Table_LABS
================================================================================
R1: TABLE ANALYSIS: LABS (LAB vs LABS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. EMPIRICAL DATA & RUNTIME OVERVIEW ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Total Rows: 133,901,152 | Unique Patients: 695,413 | Unique Encounters: 3,856,970 | Dates Populated: 100% (0 NULLS) | Observation Values: 100% Populated | Identifier Format: Plain Text (7,668 names) | Notes: 100% Empty ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: 2. PREVIOUS SCHEMA VS CURRENT SCHEMA (SIDE-BY-SIDE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: Logical Field Name || Previous Physical Column || Current Physical Column || Previous Data Type || Current Data Type || Schema Change Status || Pipeline Role & Expectation ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: patient_id || Member/PatientId || PATIENTID || TEXT || TEXT || Renamed || Patient identifier; 100% populated (695,413 unique patients). ||  ||  ||  ||  ||  ||  ||  ||  || 
R9: encounter_id || EncounterId/VisitId || ENCOUNTERKEY || TEXT || TEXT || Renamed || Encounter key; 100% populated (3,856,970 unique encounters). ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: lab_id || LabId || LABTESTKEY || TEXT || TEXT || Renamed || Lab test key; 100% populated (24,483,028 unique). ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: lab_request_id || LabRequestId || LABREQUESTID || TEXT || TEXT || Renamed || Order request ID; 100% empty strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R12: lab_result_id || LabResultId || LABRESULTID || TEXT || TEXT || Renamed || Result ID; 100% empty strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: observation_identifier || ObservationIdentifier || OBSERVATIONIDENTIFIER || TEXT || TEXT || Unchanged || Test identifier; contains TEXT NAMES ('Calcium', 'Troponin'), NOT LOINC codes! ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: observation_value || ObservationValue || OBSERVATIONVALUE || TEXT || TEXT || Unchanged || Test numeric/text result value; 100% populated. ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: result_status || ObservationResultStatus || OBSERVATIONRESULTSTATUS || TEXT || TEXT || Renamed || Result status; 99.73% 'Final result'. ||  ||  ||  ||  ||  ||  ||  ||  || 
R16: observation_datetime || ObservationDateTime || OBSERVATIONDATETIME || TEXT || TEXT || Renamed || Observation timestamp; 100% populated (0 nulls). Range: 2018 to 2026. ||  ||  ||  ||  ||  ||  ||  ||  || 
R17: lab_result_note || LabResultNote || LABRESULTNOTE || TEXT || TEXT || Renamed || Lab narrative note; 100% empty strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
R18: performed_datetime || N/A || PERFORMEDDATETIME || N/A || TEXT || Added in New || Test performed timestamp; 100% populated. ||  ||  ||  ||  ||  ||  ||  ||  || 
R19: analysis_datetime || N/A || ANALYSISDATETIME || N/A || TEXT || Added in New || Test analysis timestamp; 57,545 nulls. ||  ||  ||  ||  ||  ||  ||  ||  || 
R20: common_name || N/A || OBSERVATIONIDENTIFIERCOMMONNAME || N/A || TEXT || Added in New || Short abbreviation name (e.g. 'LYMPHS ABS AUTO'). ||  ||  ||  ||  ||  ||  ||  ||  || 
R22: 3. ISSUES WITH CURRENT SCHEMA (AS PER ALGORITHM REQUIREMENTS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R23: • No ObservationIdentifierSystem column exists to indicate whether the test is LOINC, local hospital code, or CPT. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R24: • LABREQUESTID and LABRESULTID exist as columns but are 100% empty strings. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R25: • LABRESULTNOTE exists as a column but is 100% empty strings. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R27: 4. ISSUES WITH CURRENT DATA (EMPIRICAL FINDINGS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R28: • OBSERVATIONIDENTIFIER contains free-text test names (e.g., 'Calcium', 'Glucose Accuchek POC', 'Troponin I') instead of standardized LOINC codes (e.g. 2160-0, 10839-9). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R29: • 100% Empty Notes: LABRESULTNOTE contains zero narrative text, preventing any NLP keyword or PhraseMatcher extraction. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R30: • String Formatted Values: OBSERVATIONVALUE contains numeric strings, requiring explicit casting before threshold comparisons. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R32: 5. HOW IT AFFECTS OUR CURRENT ALGORITHM & PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R33: • LOINC Structured Matching Fails: In extraction_contract.py, LOINC routes expect exact code matches. In source_events.py, code_system is set to None because no system is declared. All LOINC atoms fail to match. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R34: • Cardiac Biomarker Gates Fail: ATTRwt and AL biomarker criteria (elevated Troponin, elevated NT-proBNP) cannot fire through structured LOINC rules. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R35: • Lab Narrative NLP Fails: The secondary route for clinical notes via lab_result_note produces zero matches because all note fields are empty strings. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R37: 6. WHAT CHANGES WE NEED TO MAKE TO OUR ALGORITHM / PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R38: • TEXT-TO-LOINC MAPPING TABLE: Create a translation dictionary mapping top test names in OBSERVATIONIDENTIFIER to standard LOINC codes (e.g., 'Troponin I' -> 10839-9, 'NT-proBNP' -> 33762-6, 'Protein, Urine' -> 2888-6). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R39: • OVERRIDE CODE SYSTEM: In source_events.py, set code_system = 'LOINC' whenever a recognized test name is mapped. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R40: • SAFE NUMERIC CASTING: Apply TRY_TO_DOUBLE(OBSERVATIONVALUE) in Snowflake SQL queries to enable numeric biomarker thresholding. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R41: • ENABLE LABS IN CONFIG: Once the mapping is in place, set lab.enabled = true in source_schema.json. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Table_SURGICAL_HISTORY
================================================================================
R1: TABLE ANALYSIS: SURGICAL_HISTORY (SURGICAL_HISTORY vs SURGICAL_HISTORY) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. EMPIRICAL DATA & RUNTIME OVERVIEW ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Total Rows: 10,000 | Unique Patients: 8,329 | Unique Encounters: 608 (94% 'Unknown') | SNOMED Population: 100% (48 unique codes) | Date Population: 92.47% (753 NULLS) | Secondary SNOMED: 100% Empty ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: 2. PREVIOUS SCHEMA VS CURRENT SCHEMA (SIDE-BY-SIDE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: Logical Field Name || Previous Physical Column || Current Physical Column || Previous Data Type || Current Data Type || Schema Change Status || Pipeline Role & Expectation ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: patient_id || Member/PatientId || PATIENTID || TEXT || TEXT || Renamed || Patient identifier; 100% populated (8,329 unique patients). ||  ||  ||  ||  ||  ||  ||  ||  || 
R9: encounter_id || EncounterId/VisitId || ENCOUNTERID || TEXT || TEXT || Renamed || Encounter link; 608 distinct, but ~94% are 'Unknown'. ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: record_id || SurgicalHistoryId || SURGICALHISTORYID || TEXT || TEXT || Renamed || Surgical record ID; 100% populated (8,732 unique). ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: source_category || Source/Category || SOURCE || TEXT || TEXT || Renamed || Source category; 92.47% 'Surgical History Procedure'. ||  ||  ||  ||  ||  ||  ||  ||  || 
R12: value || Value || CATEGORY || TEXT || TEXT || Renamed || Procedure text; 92.4% generic string 'SURGICAL HISTORY PROCEDURES'. ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: snomed || SNOMED || SNOMED || TEXT || TEXT || Unchanged || SNOMED CT procedure code; 100% populated (48 unique codes). ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: secondary_snomed || Secondary SNOMED || SECONDARY_SNOMED || TEXT || TEXT || Renamed || Secondary SNOMED code; 100% empty strings. ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: event_date || Date || DATE || TEXT || TEXT || Renamed || Procedure date; 753 rows (7.53%) are NULL! Populated: 2020 to 2026. ||  ||  ||  ||  ||  ||  ||  ||  || 
R17: 3. ISSUES WITH CURRENT SCHEMA (AS PER ALGORITHM REQUIREMENTS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R18: • Physical column names normalized to uppercase without slashes. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R19: • value is mapped to CATEGORY in sample_db_v1, which only contains generic text ('SURGICAL HISTORY PROCEDURES'). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R20: • SECONDARY_SNOMED exists as a column but has 0 populated values. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R22: 4. ISSUES WITH CURRENT DATA (EMPIRICAL FINDINGS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R23: • 753 rows (7.53%) have NULL DATE, which causes them to be dropped by the pipeline. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R24: • 94% of encounter IDs are 'Unknown', preventing linkage to encounter metadata. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R25: • Procedure descriptions in CATEGORY lack clinical specificity (92.4% generic text). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R27: 5. HOW IT AFFECTS OUR CURRENT ALGORITHM & PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R28: • SNOMED Code Matching SUCCEEDS: For the 9,247 rows with valid dates, the 48 SNOMED codes match configured orthopedic/cardiac procedure atoms. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R29: • Null Date Drop: The 753 rows with NULL DATE fail evidence qualification with UNKNOWN_AVAILABILITY_DATE. 753 surgical procedures are lost. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R30: • Secondary SNOMED and Narrative: Zero secondary SNOMED matches and zero NLP text matches from this table. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R32: 6. WHAT CHANGES WE NEED TO MAKE TO OUR ALGORITHM / PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R33: • DATE IMPUTATION FOR SURGICAL HISTORY: For the 753 rows with null dates, allow an imputation strategy (e.g. earliest encounter date or census effective date) or allow non-recency-gated atoms to fire without strict dates. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R34: • ENABLE SURGICAL HISTORY IN CONFIG: Set surgical_history.enabled = true in source_schema.json so it participates in candidate retrieval and event normalization. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R35: • MAP TO SNOMED DIRECTLY: Ensure SNOMED CT is the primary extraction route for surgical history rather than relying on the generic CATEGORY text. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Missing_Tables
================================================================================
R1: ANALYSIS OF MISSING TABLES (SOURCE_AVAILABLE = FALSE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. STATUS OF EXPECTED VS RECEIVED TABLES ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Expected Table Name || Previous Role || Current Status || Row Count || Key Clinical Features Lost || Algorithm Impact || Feasibility / Recommendation ||  ||  ||  ||  ||  ||  ||  ||  || 
R5: CLINICAL_NOTE || Unstructured EHR narrative (physician notes, discharge summaries, cardiology consults) || MISSING || 0 rows || All medSpaCy / spaCy PhraseMatcher NLP text. Loss of bilateral CTS text, apical sparing, neuropathy, gastrointestinal symptoms, negation/uncertainty context. || FATAL BLOCKER: Entire narrative pipeline cannot run. No NLP-derived clinical atoms can be qualified. || CANNOT PROCEED with NLP features. Only structured claims/surgical history can be used. ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: MEDICAL_HISTORY || Past medical history conditions, diagnoses, and procedures || MISSING || 0 rows || Historical SNOMED codes (heart failure, neuropathy, autonomic dysfunction, spinal stenosis) and free-text condition descriptions. || FATAL BLOCKER: No historical SNOMED conditions can be loaded or matched. || CANNOT PROCEED with medical history features. Pipeline must rely solely on CLAIMS billing diagnoses. ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: FAMILY_HISTORY || Family medical history and pedigree relations || MISSING || 0 rows || SNOMED codes and condition terms for family members (hereditary amyloidosis, sudden cardiac death, neuropathy). || FATAL BLOCKER: Family history amyloidosis screening route cannot fire. || CANNOT PROCEED with family history rules. ATTRv must be scored on individual findings alone. ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: SOCIAL_HISTORY || Social habits, smoking, alcohol, lifestyle || MISSING || 0 rows || Excluded from scope per user request. || NO IMPACT: Excluded from analysis. || No action needed (out of scope). ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: 2. CORE CONCLUSION & ARCHITECTURAL DIRECTIVE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: • As confirmed by the data analysis workbooks in results/, CLINICAL_NOTE, MEDICAL_HISTORY, and FAMILY_HISTORY are completely absent from the current database snapshot (SOURCE_AVAILABLE = FALSE). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R12: • The current V4 algorithm was originally designed expecting a complete EHR data lake where clinical text notes and past histories corroborate billing codes. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: • BECAUSE THESE TABLES ARE MISSING, WE CANNOT PROCEED with any pipeline features, signals, or rules that depend on them. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: • Specifically: (1) The spaCy/medSpaCy narrative extraction pipeline cannot be executed; (2) Historical SNOMED conditions cannot be retrieved; (3) Family pedigree risk rules cannot fire. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: • Operational Directive: The algorithm must be adapted to run strictly on structured CLAIMS, ENCOUNTERS, LABS, and SURGICAL_HISTORY. All clinical atoms that rely exclusively on NLP or medical history must be disabled or flagged as unfulfillable gaps. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
